category,subCategory,eventID,level,channel,provider,description,availableSettings/0,availableSettings/1,gpoSettings,documentation,volume/DomainController,volume/Server,volume/Workstation,microsoftBaseline/DomainController,microsoftBaseline/Server,microsoftBaseline/Workstation,securityMonitoringRecommandation,tags/0,tags/1,tags/2,tags/3,tags/4,tags/5
Detailed Tracking,Audit PNP Activity,6420,Information,Security,Microsoft-Windows-Security-Auditing,A device was disabled.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Detailed Tracking\Audit PNP Activity,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-6420,Low,Low,Low,Success,Success,Success,Yes,,,,,,
Detailed Tracking,Audit PNP Activity,6421,Information,Security,Microsoft-Windows-Security-Auditing,A request was made to enable a device.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Detailed Tracking\Audit PNP Activity,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-6421,Low,Low,Low,Success,Success,Success,Yes,,,,,,
Detailed Tracking,Audit PNP Activity,6422,Information,Security,Microsoft-Windows-Security-Auditing,A device was enabled.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Detailed Tracking\Audit PNP Activity,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-6422,Low,Low,Low,Success,Success,Success,Yes,,,,,,
Detailed Tracking,Audit PNP Activity,6423,Information,Security,Microsoft-Windows-Security-Auditing,The installation of this device is forbidden by system policy.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Detailed Tracking\Audit PNP Activity,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-6423,Low,Low,Low,Success,Success,Success,Yes,MDE,,,,,
Detailed Tracking,Audit PNP Activity,6424,Information,Security,Microsoft-Windows-Security-Auditing,"The installation of this device was allowed, after having previously been forbidden by policy.",Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Detailed Tracking\Audit PNP Activity,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-6424,Low,Low,Low,Success,Success,Success,No,,,,,,
Detailed Tracking,Audit Process Creation,4688,Information,Security,Microsoft-Windows-Security-Auditing,A new process has been created.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Detailed Tracking\Audit Process Creation,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4688,Medium to High,Medium to High,Medium to High,Success,Success,Success,Yes,JSCU-NL,SRV-ETM,YAMATO,ANSSI,,
Detailed Tracking,Audit Process Creation,4696,Information,Security,Microsoft-Windows-Security-Auditing,A primary token was assigned to process.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Detailed Tracking\Audit Process Creation,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4696,Medium to High,Medium to High,Medium to High,Success,Success,Success,Yes,SRV-ETM,,,,,
Detailed Tracking,Audit Process Termination,4689,Information,Security,Microsoft-Windows-Security-Auditing,A process has exited.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Detailed Tracking\Audit Process Termination,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4689,Low to Medium,Low to Medium,Low to Medium,No,No,No,Yes,JSCU-NL,SRV-ETM,YAMATO,,,
Detailed Tracking,Audit RPC Events,5712,Information,Security,Microsoft-Windows-Security-Auditing,A Remote Procedure Call (RPC) was attempted.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Detailed Tracking\Audit RPC Events,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-5712,,,,No,No,No,No,SRV-ETM,YAMATO,,,,
Detailed Tracking,Audit Token Right Adjusted,4703,Information,Security,Microsoft-Windows-Security-Auditing,A user right was adjusted.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Detailed Tracking\Audit Token Right Adjusted,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4703,Medium to High,Medium to High,Medium to High,IF,IF,IF,No,YAMATO,,,,,
DS Access,Audit Detailed Directory Service Replication,4928,Information,Security,Microsoft-Windows-Security-Auditing,An Active Directory replica source naming context was established.,Success,Failure,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\DS Access\Audit Detailed Directory Service Replication,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4928,High,,,IF,No,No,Yes,SRV-ETM,,,,,
DS Access,Audit Detailed Directory Service Replication,4929,Information,Security,Microsoft-Windows-Security-Auditing,An Active Directory replica source naming context was removed.,Success,Failure,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\DS Access\Audit Detailed Directory Service Replication,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4929,High,,,IF,No,No,Yes,SRV-ETM,,,,,
DS Access,Audit Detailed Directory Service Replication,4930,Information,Security,Microsoft-Windows-Security-Auditing,An Active Directory replica source naming context was modified.,Success,Failure,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\DS Access\Audit Detailed Directory Service Replication,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4930,High,,,IF,No,No,Yes,SRV-ETM,,,,,
DS Access,Audit Detailed Directory Service Replication,4931,Information,Security,Microsoft-Windows-Security-Auditing,An Active Directory replica destination naming context was modified.,Success,Failure,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\DS Access\Audit Detailed Directory Service Replication,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4931,High,,,IF,No,No,Yes,SRV-ETM,,,,,
DS Access,Audit Detailed Directory Service Replication,4934,Information,Security,Microsoft-Windows-Security-Auditing,Attributes of an Active Directory object were replicated.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\DS Access\Audit Detailed Directory Service Replication,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4934,High,,,IF,No,No,Yes,SRV-ETM,,,,,
DS Access,Audit Detailed Directory Service Replication,4935,Information,Security,Microsoft-Windows-Security-Auditing,Replication failure begins.,Failure,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\DS Access\Audit Detailed Directory Service Replication,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4935,High,,,IF,No,No,Yes,SRV-ETM,,,,,
DS Access,Audit Detailed Directory Service Replication,4936,Information,Security,Microsoft-Windows-Security-Auditing,Replication failure ends.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\DS Access\Audit Detailed Directory Service Replication,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4936,High,,,IF,No,No,Yes,SRV-ETM,,,,,
DS Access,Audit Detailed Directory Service Replication,4937,Information,Security,Microsoft-Windows-Security-Auditing,A lingering object was removed from a replica.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\DS Access\Audit Detailed Directory Service Replication,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4937,High,,,IF,No,No,Yes,SRV-ETM,,,,,
DS Access,Audit Directory Service Access,4661,Information,Security,Microsoft-Windows-Security-Auditing,A handle to an object was requested.,Success,Failure,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\DS Access\Audit Directory Service Access,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4661,High,,,Failure,No,No,No,SRV-ETM,YAMATO,,,,
DS Access,Audit Directory Service Access,4662,Information,Security,Microsoft-Windows-Security-Auditing,An operation was performed on an object.,Success,Failure,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\DS Access\Audit Directory Service Access,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4662,High,,,Failure,No,No,Yes,SRV-ETM,CORTEX,YAMATO,,,
DS Access,Audit Directory Service Changes,5136,Information,Security,Microsoft-Windows-Security-Auditing,A directory service object was modified.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\DS Access\Audit Directory Service Changes,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-5136,High,,,Success,No,No,No,SRV-ETM,YAMATO,,,,
DS Access,Audit Directory Service Changes,5137,Information,Security,Microsoft-Windows-Security-Auditing,A directory service object was created.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\DS Access\Audit Directory Service Changes,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-5137,High,,,Success,No,No,No,SRV-ETM,YAMATO,,,,
DS Access,Audit Directory Service Changes,5138,Information,Security,Microsoft-Windows-Security-Auditing,A directory service object was undeleted.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\DS Access\Audit Directory Service Changes,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-5138,High,,,Success,No,No,No,SRV-ETM,YAMATO,,,,
DS Access,Audit Directory Service Changes,5139,Information,Security,Microsoft-Windows-Security-Auditing,A directory service object was moved.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\DS Access\Audit Directory Service Changes,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-5139,High,,,Success,No,No,No,SRV-ETM,YAMATO,,,,
DS Access,Audit Directory Service Changes,5141,Information,Security,Microsoft-Windows-Security-Auditing,A directory service object was deleted.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\DS Access\Audit Directory Service Changes,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-5141,High,,,Success,No,No,No,SRV-ETM,YAMATO,,,,
DS Access,Audit Directory Service Replication,4932,Information,Security,Microsoft-Windows-Security-Auditing,Synchronization of a replica of an Active Directory naming context has begun.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\DS Access\Audit Directory Service Replication,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4932,Medium,,,No,No,No,No,SRV-ETM,,,,,
DS Access,Audit Directory Service Replication,4933,Information,Security,Microsoft-Windows-Security-Auditing,Synchronization of a replica of an Active Directory naming context has ended.,Success,Failure,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\DS Access\Audit Directory Service Replication,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4933,Medium,,,No,No,No,No,SRV-ETM,,,,,
Logon Logoff,Audit Account Lockout,4625,Information,Security,Microsoft-Windows-Security-Auditing,An account failed to log on.,Failure,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Logon Logoff\Audit Account Lockout,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4625,Low,Low,Low,Failure,Failure,Failure,Yes,JSCU-NL,SRV-ETM,MDE,YAMATO,ANSSI,CORTEX
Logon Logoff,Audit Group Membership,4627,Information,Security,Microsoft-Windows-Security-Auditing,Group membership information.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Logon Logoff\Audit Group Membership,,Medium,Medium,Low,Success,Success,Success,Yes,JSCU-NL,YAMATO,,,,
Logon Logoff,Audit IPsec Extended Mode,4978,Information,Security,Microsoft-Windows-Security-Auditing,"During Extended Mode negotiation, IPsec received an invalid negotiation packet. If this problem persists, it could indicate a network issue or an attempt to modify or replay this negotiation.",Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Logon Logoff\Audit IPsec Extended Mode,,,,,No,No,No,No,SRV-ETM,,,,,
Logon Logoff,Audit IPsec Extended Mode,4979,Information,Security,Microsoft-Windows-Security-Auditing,IPsec Main Mode and Extended Mode security associations were established.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Logon Logoff\Audit IPsec Extended Mode,,,,,No,No,No,No,SRV-ETM,,,,,
Logon Logoff,Audit IPsec Extended Mode,4980,Information,Security,Microsoft-Windows-Security-Auditing,IPsec Main Mode and Extended Mode security associations were established.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Logon Logoff\Audit IPsec Extended Mode,,,,,No,No,No,No,SRV-ETM,,,,,
Logon Logoff,Audit IPsec Extended Mode,4981,Information,Security,Microsoft-Windows-Security-Auditing,IPsec Main Mode and Extended Mode security associations were established.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Logon Logoff\Audit IPsec Extended Mode,,,,,No,No,No,No,SRV-ETM,,,,,
Logon Logoff,Audit IPsec Extended Mode,4982,Information,Security,Microsoft-Windows-Security-Auditing,IPsec Main Mode and Extended Mode security associations were established.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Logon Logoff\Audit IPsec Extended Mode,,,,,No,No,No,No,SRV-ETM,,,,,
Logon Logoff,Audit IPsec Extended Mode,4983,Information,Security,Microsoft-Windows-Security-Auditing,An IPsec Extended Mode negotiation failed. The corresponding Main Mode security association has been deleted.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Logon Logoff\Audit IPsec Extended Mode,,,,,No,No,No,No,SRV-ETM,,,,,
Logon Logoff,Audit IPsec Extended Mode,4984,Information,Security,Microsoft-Windows-Security-Auditing, An IPsec Extended Mode negotiation failed. The corresponding Main Mode security association has been deleted.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Logon Logoff\Audit IPsec Extended Mode,,,,,No,No,No,No,SRV-ETM,,,,,
Logon Logoff,Audit Logoff,4634,Information,Security,Microsoft-Windows-Security-Auditing,An account was logged off.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Logon Logoff\Audit Logoff,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4634,High,High,High,Success,Success,Success,Yes,JSCU-NL,SRV-ETM,CORTEX,YAMATO,,
Logon Logoff,Audit Logoff,4647,Information,Security,Microsoft-Windows-Security-Auditing,User initiated logoff.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Logon Logoff\Audit Logoff,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4647,High,High,High,Success,Success,Success,No,JSCU-NL,SRV-ETM,CORTEX,YAMATO,,
Logon Logoff,Audit Logon,4624,Information,Security,Microsoft-Windows-Security-Auditing,An account was successfully logged on.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Logon Logoff\Audit Logon,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4624,Medium,Medium,Low,Success,Success,Success,Yes,JSCU-NL,SRV-ETM,CORTEX,MDE,YAMATO,ANSSI
Logon Logoff,Audit Logon,4625,Information,Security,Microsoft-Windows-Security-Auditing,An account failed to log on.,Failure,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Logon Logoff\Audit Logon,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4625,Medium,Medium,Low,Failure,Failure,Failure,Yes,JSCU-NL,SRV-ETM,MDE,YAMATO,ANSSI,CORTEX
Logon Logoff,Audit Logon,4648,Information,Security,Microsoft-Windows-Security-Auditing,A logon was attempted using explicit credentials.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Logon Logoff\Audit Logon,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4648,Medium,Medium,Low,Success,Success,Success,Yes,JSCU-NL,SRV-ETM,CORTEX,MDE,YAMATO,ANSSI
Logon Logoff,Audit Logon,4675,Information,Security,Microsoft-Windows-Security-Auditing,SIDs were filtered.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Logon Logoff\Audit Logon,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4675,Medium,Medium,Low,Success,Success,Success,Yes,SRV-ETM,,,,,
Logon Logoff,Audit Other Logon/Logoff Events,4649,Information,Security,Microsoft-Windows-Security-Auditing,A replay attack was detected.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Logon Logoff\Audit Other Logon/Logoff Events,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4649,Low,Low,Low,Success,Success,Success,Yes,JSCU-NL,SRV-ETM,CORTEX,YAMATO,,
Logon Logoff,Audit Other Logon/Logoff Events,4678,Information,Security,Microsoft-Windows-Security-Auditing,A session was reconnected to a Window Station.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Logon Logoff\Audit Other Logon/Logoff Events,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4678,Low,Low,Low,Success,Success,Success,Yes,JSCU-NL,,,,,
Logon Logoff,Audit Other Logon/Logoff Events,4679,Information,Security,Microsoft-Windows-Security-Auditing,A session was disconnected from a Window Station.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Logon Logoff\Audit Other Logon/Logoff Events,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4679,Low,Low,Low,Success,Success,Success,Yes,JSCU-NL,,,,,
Logon Logoff,Audit Other Logon/Logoff Events,4800,Information,Security,Microsoft-Windows-Security-Auditing,The workstation was locked.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Logon Logoff\Audit Other Logon/Logoff Events,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4800,Low,Low,Low,Success,Success,Success,Yes,CORTEX,SRV-ETM,YAMATO,,,
Logon Logoff,Audit Other Logon/Logoff Events,4801,Information,Security,Microsoft-Windows-Security-Auditing,The workstation was unlocked.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Logon Logoff\Audit Other Logon/Logoff Events,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4801,Low,Low,Low,Success,Success,Success,Yes,CORTEX,SRV-ETM,YAMATO,,,
Logon Logoff,Audit Other Logon/Logoff Events,4802,Information,Security,Microsoft-Windows-Security-Auditing,The screen saver was invoked.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Logon Logoff\Audit Other Logon/Logoff Events,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4802,Low,Low,Low,Success,Success,Success,Yes,CORTEX,SRV-ETM,YAMATO,,,
Logon Logoff,Audit Other Logon/Logoff Events,4803,Information,Security,Microsoft-Windows-Security-Auditing,The screen saver was dismissed.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Logon Logoff\Audit Other Logon/Logoff Events,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4803,Low,Low,Low,Success,Success,Success,Yes,CORTEX,SRV-ETM,YAMATO,,,
Logon Logoff,Audit Other Logon/Logoff Events,5378,Information,Security,Microsoft-Windows-Security-Auditing,The requested credentials delegation was disallowed by policy.,Failure,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Logon Logoff\Audit Other Logon/Logoff Events,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-5378,Low,Low,Low,Failure,Failure,Failure,Yes,SRV-ETM,,,,,
Logon Logoff,Audit Other Logon/Logoff Events,5632,Information,Security,Microsoft-Windows-Security-Auditing,A request was made to authenticate to a wireless network.,Success,Failure,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Logon Logoff\Audit Other Logon/Logoff Events,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-5632,Low,Low,Low,Success,Success,Success,Yes,JSCU-NL,SRV-ETM,YAMATO,ANSSI,,
Logon Logoff,Audit Other Logon/Logoff Events,5633,Information,Security,Microsoft-Windows-Security-Auditing,A request was made to authenticate to a wired network.,Success,Failure,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Logon Logoff\Audit Other Logon/Logoff Events,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-5633,Low,Low,Low,Success,Success,Success,Yes,SRV-ETM,YAMATO,,,,
Logon Logoff,Audit Special Logon,4672,Information,Security,Microsoft-Windows-Security-Auditing,Special privileges assigned to new logon.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Logon Logoff\Audit Special Logon,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4672,Medium,Medium,Low,Success,Success,Success,Yes,JSCU-NL,SRV-ETM,CORTEX,YAMATO,ANSSI,
Logon Logoff,Audit Special Logon,4964,Information,Security,Microsoft-Windows-Security-Auditing,Special groups have been assigned to a new logon.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Logon Logoff\Audit Special Logon,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4964,Medium,Medium,Low,Success,Success,Success,Yes,SRV-ETM,YAMATO,,,,
Logon Logoff,Audit User/Device Claims,4626,Information,Security,Microsoft-Windows-Security-Auditing,User/Device claims information.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Logon Logoff\Audit User/Device Claims,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4626,Medium,Medium,Low,IF,IF,IF,Yes,,,,,,
Object Access,Audit Central Access Policy Staging,4618,Information,Security,Microsoft-Windows-Security-Auditing,Proposed Central Access Policy does not grant the same access permissions as the current Central Access Policy.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Object Access\Audit Central Access Policy Staging,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4618,,,,No,No,No,Yes,SRV-ETM,,,,,
Object Access,Audit Detailed File Share,5145,Information,Security,Microsoft-Windows-Security-Auditing,A network share object was checked to see whether client can be granted desired access.,Success,Failure,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Object Access\Audit Detailed File Share,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-5145,High,Low,Low,Failure,Success and Failure,Success and Failure,Yes,YAMATO,ANSSI,,,,
Object Access,Audit File System,4656,Information,Security,Microsoft-Windows-Security-Auditing,A handle to an object was requested.,Success,Failure,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Object Access\Audit File System,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4656,,,,IF,IF,IF,Yes,SRV-ETM,YAMATO,,,,
Object Access,Audit File System,4658,Information,Security,Microsoft-Windows-Security-Auditing,The handle to an object was closed.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Object Access\Audit File System,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4658,,,,IF,IF,IF,Yes,SRV-ETM,YAMATO,,,,
Object Access,Audit File System,4660,Information,Security,Microsoft-Windows-Security-Auditing,An object was deleted.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Object Access\Audit File System,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4660,,,,IF,IF,IF,Yes,SRV-ETM,YAMATO,,,,
Object Access,Audit File System,4663,Information,Security,Microsoft-Windows-Security-Auditing,An attempt was made to access an object.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Object Access\Audit File System,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4663,,,,IF,IF,IF,Yes,JSCU-NL,SRV-ETM,YAMATO,,,
Object Access,Audit File System,4664,Information,Security,Microsoft-Windows-Security-Auditing,An attempt was made to create a hard link.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Object Access\Audit File System,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4664,,,,IF,IF,IF,Yes,SRV-ETM,MDE,YAMATO,,,
Object Access,Audit File System,4670,Information,Security,Microsoft-Windows-Security-Auditing,Permissions on an object were changed.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Object Access\Audit File System,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4670,"Varies, depending on how file system SACLs are configured.","Varies, depending on how file system SACLs are configured.","Varies, depending on how file system SACLs are configured.",IF,IF,IF,Yes,SRV-ETM,MDE,YAMATO,,,
Object Access,Audit File System,4985,Information,Security,Microsoft-Windows-Security-Auditing,The state of a transaction has changed.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Object Access\Audit File System,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4985,,,,IF,IF,IF,Yes,SRV-ETM,YAMATO,,,,
Object Access,Audit File System,5051,Information,Security,Microsoft-Windows-Security-Auditing,A file was virtualized,,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Object Access\Audit File System,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-5051,,,,IF,IF,IF,No,SRV-ETM,YAMATO,,,,
Object Access,Audit Filtering Platform Connection,5031,Information,Security,Microsoft-Windows-Security-Auditing,The Windows Firewall Service blocked an application from accepting incoming connections on the network.,Failure,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Object Access\Audit Filtering Platform Connection,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-5031,High,High,High,Failure,Failure,Failure,Yes,SRV-ETM,MDE,YAMATO,,,
Object Access,Audit Filtering Platform Connection,5150,Information,Security,Microsoft-Windows-Security-Auditing,The Windows Filtering Platform blocked a packet.,,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Object Access\Audit Filtering Platform Connection,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-5150,High,High,High,,,,No,YAMATO,,,,,
Object Access,Audit Filtering Platform Connection,5151,Information,Security,Microsoft-Windows-Security-Auditing,A more restrictive Windows Filtering Platform filter has blocked a packet.,,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Object Access\Audit Filtering Platform Connection,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-5151,High,High,High,,,,No,YAMATO,,,,,
Object Access,Audit Filtering Platform Connection,5154,Information,Security,Microsoft-Windows-Security-Auditing,The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Object Access\Audit Filtering Platform Connection,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-5154,High,High,High,No,No,No,Yes,SRV-ETM,YAMATO,,,,
Object Access,Audit Filtering Platform Connection,5155,Information,Security,Microsoft-Windows-Security-Auditing,The Windows Filtering Platform has blocked an application or service from listening on a port for incoming connections.,,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Object Access\Audit Filtering Platform Connection,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-5155,High,High,High,No,No,No,Yes,SRV-ETM,YAMATO,,,,
Object Access,Audit Filtering Platform Connection,5156,Information,Security,Microsoft-Windows-Security-Auditing,The Windows Filtering Platform has permitted a connection.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Object Access\Audit Filtering Platform Connection,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-5156,High,High,High,No,No,No,Yes,SRV-ETM,YAMATO,,,,
